Year,Area,Level,BirthRate,NationalRate,DeviationFromNational
2018,Kerry,County,11.0,12.6,-1.5999999999999996
2018,Kildare,County,13.3,12.6,0.7000000000000011
2018,Kilkenny,County,11.1,12.6,-1.5
2018,Laois,County,12.1,12.6,-0.5
2018,Leinster,Province,12.9,12.6,0.3000000000000007
2018,Leitrim,County,12.7,12.6,0.09999999999999964
2018,Limerick City,County,13.6,12.6,1.0
2018,Limerick County,County,12.5,12.6,-0.09999999999999964
2018,Longford,County,13.2,12.6,0.5999999999999996
2018,Louth,County,12.9,12.6,0.3000000000000007
2018,Mayo,County,11.0,12.6,-1.5999999999999996
2018,Meath,County,13.0,12.6,0.40000000000000036
2018,Mid-East,Region,12.8,12.6,0.20000000000000107
2018,Mid-West,Region,12.4,12.6,-0.1999999999999993
2018,Midland,Region,12.6,12.6,0.0
2018,Monaghan,County,13.1,12.6,0.5
2018,Munster,Province,12.3,12.6,-0.29999999999999893
2018,Offaly,County,11.8,12.6,-0.7999999999999989
2018,Roscommon,County,10.8,12.6,-1.799999999999999
2018,Sligo,County,12.0,12.6,-0.5999999999999996
2018,South Dublin,County,13.9,12.6,1.3000000000000007
2018,South-East,Region,12.1,12.6,-0.5
2018,South-West,Region,12.1,12.6,-0.5
2018,State,National,12.6,12.6,0.0
2018,Tipperary,County,12.7,12.6,0.09999999999999964
2018,Ulster (part of),Province,12.3,12.6,-0.29999999999999893
2018,Waterford City,County,13.2,12.6,0.5999999999999996
2018,Waterford County,County,11.4,12.6,-1.1999999999999993
2018,West,Region,11.9,12.6,-0.6999999999999993
2018,Westmeath,County,13.4,12.6,0.8000000000000007
2018,Wexford,County,11.8,12.6,-0.7999999999999989
2018,Wicklow,County,11.5,12.6,-1.0999999999999996
2019,Border,Region,11.6,12.0,-0.40000000000000036
2019,Carlow,County,12.7,12.0,0.6999999999999993
2019,Cavan,County,12.4,12.0,0.40000000000000036
2019,Clare,County,10.9,12.0,-1.0999999999999996
2019,Connacht,Province,11.9,12.0,-0.09999999999999964
2019,Cork City,County,10.5,12.0,-1.5
